county,administered_date,total_doses,pfizer_doses,moderna_doses,jj_doses,partially_vaccinated,total_partially_vaccinated,fully_vaccinated,cumulative_fully_vaccinated,at_least_one_dose
Alameda,12/15/2020,36,36,0,0,36,36,0,0,36
Alameda,12/16/2020,202,202,0,0,202,238,0,0,202
Alameda,12/17/2020,396,396,0,0,396,634,0,0,396
Alameda,12/18/2020,1766,1765,1,0,1766,2400,0,0,1766
Alameda,12/19/2020,1357,1357,0,0,1357,3757,0,0,1357
Alameda,12/20/2020,1156,1155,1,0,1155,4911,1,1,1155
Alameda,12/21/2020,1859,1858,1,0,1858,6769,0,1,1858
Alameda,12/22/2020,2099,2047,52,0,2099,8868,0,1,2099
Alameda,12/23/2020,1927,1671,256,0,1927,10795,0,1,1927
Alameda,12/24/2020,1218,758,460,0,1218,12013,0,1,1218
Alameda,12/25/2020,165,128,37,0,165,12178,0,1,165
Alameda,12/26/2020,867,323,544,0,867,13045,0,1,867
Alameda,12/27/2020,500,256,244,0,500,13545,0,1,500
Alameda,12/28/2020,1883,957,926,0,1883,15428,0,1,1883
Alameda,12/29/2020,2427,1022,1405,0,2426,17854,0,1,2426
Alameda,12/30/2020,3122,1359,1763,0,3124,20978,0,1,3124
Alameda,12/31/2020,1789,441,1348,0,1788,22765,1,2,1788
Alameda,1/1/2021,171,70,101,0,170,22934,1,3,170
Alameda,1/2/2021,719,521,198,0,718,23652,0,3,718
Alameda,1/3/2021,341,220,121,0,338,23987,3,6,338
Alameda,1/4/2021,1647,944,703,0,1635,25611,11,17,1635
Alameda,1/5/2021,2199,1265,934,0,1963,27341,233,250,1963
Alameda,1/6/2021,3242,1776,1466,0,2428,28960,811,1061,2430
Alameda,1/7/2021,3773,2112,1661,0,2686,30572,1078,2139,2690
Alameda,1/8/2021,4724,2695,2029,0,3103,32062,1617,3756,3107
Alameda,1/9/2021,2031,1388,643,0,1170,32371,861,4617,1170
Alameda,1/10/2021,1061,843,218,0,424,32157,638,5255,424
Alameda,1/11/2021,4630,3502,1128,0,2842,33217,1788,7043,2848
Alameda,1/12/2021,4824,3246,1578,0,3432,35261,1391,8434,3435
Alameda,1/13/2021,5025,2654,2371,0,3846,37933,1175,9609,3847
Alameda,1/14/2021,5603,2740,2863,0,4717,41776,877,10486,4720
Alameda,1/15/2021,5827,2309,3518,0,5060,46079,760,11246,5063
Alameda,1/16/2021,3005,1409,1596,0,2737,48549,268,11514,2738
Alameda,1/17/2021,1868,1084,784,0,1661,50005,206,11720,1662
Alameda,1/18/2021,3192,2049,1143,0,2598,52018,590,12310,2603
Alameda,1/19/2021,5516,3329,2187,0,4329,55164,1185,13495,4331
Alameda,1/20/2021,6689,4026,2663,0,5396,59283,1281,14776,5400
Alameda,1/21/2021,7739,3382,4357,0,6911,65375,822,15598,6914
Alameda,1/22/2021,6837,2032,4805,0,5699,69945,1131,16729,5701
Alameda,1/23/2021,3280,943,2337,0,2728,72123,552,17281,2730
Alameda,1/24/2021,2049,654,1395,0,1773,73624,272,17553,1773
Alameda,1/25/2021,5213,1985,3228,0,3628,75675,1577,19130,3628
Alameda,1/26/2021,7241,2286,4955,0,5382,79206,1852,20982,5383
Alameda,1/27/2021,6667,2076,4591,0,4824,82198,1832,22814,4824
Alameda,1/28/2021,7868,2541,5327,0,5631,85609,2221,25035,5632
Alameda,1/29/2021,7906,3178,4728,0,6082,89878,1814,26849,6083
Alameda,1/30/2021,3411,1666,1745,0,2710,91892,696,27545,2710
Alameda,1/31/2021,1902,962,940,0,1659,93310,241,27786,1659
Alameda,2/1/2021,5953,3351,2602,0,4317,95998,1630,29416,4318
Alameda,2/2/2021,7442,4240,3202,0,4656,97878,2776,32192,4656
Alameda,2/3/2021,7077,3728,3349,0,4406,99624,2665,34857,4411
Alameda,2/4/2021,9503,4129,5374,0,6450,103043,3036,37893,6455
Alameda,2/5/2021,10320,5386,4934,0,6454,105643,3860,41753,6460
Alameda,2/6/2021,6996,4436,2560,0,5878,110403,1118,42871,5878
Alameda,2/7/2021,3581,2892,689,0,2641,112108,937,43808,2642
Alameda,2/8/2021,8080,5779,2301,0,5538,115116,2532,46340,5540
Alameda,2/9/2021,9701,5852,3849,0,6052,117527,3643,49983,6054
Alameda,2/10/2021,11447,6769,4678,0,6632,119369,4798,54781,6640
Alameda,2/11/2021,13912,7972,5940,0,8372,122221,5523,60304,8375
Alameda,2/12/2021,12518,5692,6826,0,7751,125222,4753,65057,7754
Alameda,2/13/2021,7804,4063,3741,0,5845,129114,1955,67012,5847
Alameda,2/14/2021,4026,2535,1491,0,2868,130829,1155,68167,2870
Alameda,2/15/2021,5705,3220,2485,0,3697,132524,2005,70172,3700
Alameda,2/16/2021,12525,6950,5575,0,9320,138654,3195,73367,9325
Alameda,2/17/2021,14098,8351,5747,0,10483,145542,3597,76964,10485
Alameda,2/18/2021,15842,10056,5786,0,11507,152723,4332,81296,11513
Alameda,2/19/2021,17628,11427,6201,0,11686,158493,5920,87216,11690
Alameda,2/20/2021,11853,9606,2247,0,9141,164930,2709,89925,9146
Alameda,2/21/2021,6185,5255,930,0,3733,166220,2443,92368,3733
Alameda,2/22/2021,10688,7912,2776,0,6739,169033,3936,96304,6749
Alameda,2/23/2021,12699,7710,4989,0,7907,172164,4783,101087,7914
Alameda,2/24/2021,14646,8202,6444,0,9499,176581,5087,106174,9504
Alameda,2/25/2021,15602,9118,6484,0,9940,180897,5630,111804,9946
Alameda,2/26/2021,18075,10627,7448,0,11694,186254,6341,118145,11698
Alameda,2/27/2021,14688,10800,3886,2,9096,189784,5570,123715,9100
Alameda,2/28/2021,9139,7705,1434,0,6071,192808,3048,126763,6072
Alameda,3/1/2021,13207,9173,4032,2,8197,196044,4969,131732,8205
Alameda,3/2/2021,13789,9578,4211,0,8866,200013,4904,136636,8873
Alameda,3/3/2021,15293,9909,5383,1,10407,205562,4861,141497,10410
Alameda,3/4/2021,17262,11026,6235,1,10864,210063,6364,147861,10865
Alameda,3/5/2021,15846,10233,5604,9,10631,215534,5175,153036,10646
Alameda,3/6/2021,14212,9946,4007,259,9337,220300,4832,157868,9598
Alameda,3/7/2021,9282,8070,1131,81,6564,224254,2693,160561,6647
Alameda,3/8/2021,11609,7151,4082,376,8647,230364,2912,163473,9022
Alameda,3/9/2021,11336,6994,3913,429,6272,232034,5033,168506,6703
Alameda,3/10/2021,16647,11310,4782,555,7539,231041,9084,177590,8091
Alameda,3/11/2021,19744,11546,6492,1706,6757,226545,12958,190548,8462
Alameda,3/12/2021,21113,12294,7169,1650,7454,222006,13637,204185,9098
Alameda,3/13/2021,15828,10101,4749,978,5114,217412,10681,214866,6087
Alameda,3/14/2021,10687,7806,2096,785,4663,216847,6008,220874,5443
Alameda,3/15/2021,14287,9313,4457,517,6356,215814,7903,228777,6870
Alameda,3/16/2021,17133,11085,5515,533,7548,214361,9535,238312,8082
Alameda,3/17/2021,17333,9755,6886,692,8152,214057,9148,247460,8844
Alameda,3/18/2021,19024,10308,7839,877,8756,213452,10241,257701,9636
Alameda,3/19/2021,19067,10311,6968,1788,7632,211478,11388,269089,9414
Alameda,3/20/2021,15589,10177,4594,818,6525,209782,9037,278126,7341
Alameda,3/21/2021,9043,7091,1421,531,3766,208812,5268,283394,4298
Alameda,3/22/2021,14857,9986,3892,979,7174,209296,7666,291060,8150
Alameda,3/23/2021,19042,11478,6771,793,10699,212490,8303,299363,11497
Alameda,3/24/2021,18930,11382,6558,990,8584,211766,10291,309654,9567
Alameda,3/25/2021,20308,11199,7732,1377,9553,211995,10692,320346,10921
Alameda,3/26/2021,20614,12348,6738,1528,8833,210611,11737,332083,10353
Alameda,3/27/2021,18120,12301,4864,955,7812,209099,10262,342345,8750
Alameda,3/28/2021,10416,8432,1781,203,3831,206564,6575,348920,4040
Alameda,3/29/2021,14549,9264,4291,994,6254,205550,8262,357182,7248
Alameda,3/30/2021,18383,9652,7042,1689,10791,210464,7564,364746,12478
Alameda,3/31/2021,19168,10087,7028,2053,9569,212485,9576,374322,11597
Alameda,4/1/2021,22926,9924,7533,5469,10936,216920,11965,386287,16400
Alameda,4/2/2021,23667,9795,8202,5670,11464,221867,12174,398461,17121
Alameda,4/3/2021,20026,9699,5641,4686,10240,227024,9771,408232,14928
Alameda,4/4/2021,9897,3948,2276,3673,3504,227812,6384,414616,7172
Alameda,4/5/2021,17642,7387,5497,4758,7160,229264,10465,425081,11917
Alameda,4/6/2021,21980,10552,5639,5789,9976,233051,11974,437055,15761
Alameda,4/7/2021,22325,11431,5471,5423,11310,238807,10974,448029,16730
Alameda,4/8/2021,25222,11424,5888,7910,10757,243075,14399,462428,18667
Alameda,4/9/2021,23000,10396,7431,5173,11830,248940,11147,473575,17012
Alameda,4/10/2021,18742,7370,5566,5806,8125,252265,10599,484174,13924
Alameda,4/11/2021,10957,4764,2261,3932,4478,254204,6464,490638,8403
Alameda,4/12/2021,17615,11587,4223,1805,9998,258415,7589,498227,11800
Alameda,4/13/2021,22880,14614,8213,53,16929,269499,5907,504134,16991
Alameda,4/14/2021,22841,15159,7681,1,15566,277826,7245,511379,15572
Alameda,4/15/2021,23501,15133,8366,2,15620,285621,7835,519214,15630
Alameda,4/16/2021,24005,14230,9771,4,15528,292736,8426,527640,15541
Alameda,4/17/2021,20500,14134,6366,0,14166,300610,6306,533946,14180
Alameda,4/18/2021,9801,7466,2335,0,6785,304409,2990,536936,6789
Alameda,4/19/2021,14951,9229,5722,0,8521,306534,6405,543341,8530
Alameda,4/20/2021,17669,10667,7000,2,9584,308093,8046,551387,9605
Alameda,4/21/2021,18143,10538,7599,6,10352,310731,7739,559126,10377
Alameda,4/22/2021,17212,10686,6523,3,9038,311648,8141,567267,9058
Alameda,4/23/2021,12379,8029,4349,1,7269,313839,5083,572350,7274
Alpine,12/18/2020,2,2,0,0,2,2,0,0,2
Alpine,12/19/2020,2,2,0,0,2,4,0,0,2
Alpine,12/21/2020,2,2,0,0,2,6,0,0,2
Alpine,12/30/2020,14,0,14,0,14,20,0,0,14
Alpine,12/31/2020,1,0,1,0,1,21,0,0,1
Alpine,1/1/2021,1,0,1,0,1,22,0,0,1
Alpine,1/2/2021,1,1,0,0,1,23,0,0,1
Alpine,1/4/2021,10,0,10,0,10,33,0,0,10
Alpine,1/5/2021,9,1,8,0,9,42,0,0,9
Alpine,1/6/2021,31,0,31,0,31,73,0,0,31
Alpine,1/7/2021,8,0,8,0,8,81,0,0,8
Alpine,1/8/2021,4,2,2,0,2,81,2,2,2
Alpine,1/9/2021,2,2,0,0,0,79,2,4,0
Alpine,1/11/2021,32,1,31,0,31,109,1,5,31
Alpine,1/13/2021,35,0,35,0,35,144,0,5,35
Alpine,1/14/2021,1,0,1,0,1,145,0,5,1
Alpine,1/15/2021,1,0,1,0,1,146,0,5,1
Alpine,1/20/2021,21,0,21,0,21,167,0,5,21
Alpine,1/21/2021,1,0,1,0,1,168,0,5,1
Alpine,1/22/2021,32,0,32,0,32,200,0,5,32
Alpine,1/23/2021,1,1,0,0,0,199,1,6,0
Alpine,1/25/2021,16,0,16,0,16,215,0,6,16
Alpine,1/27/2021,1,1,0,0,0,214,1,7,0
Alpine,1/28/2021,1,0,1,0,0,213,1,8,0
Alpine,1/29/2021,1,0,1,0,1,214,0,8,1
Alpine,2/1/2021,25,0,25,0,7,203,18,26,7
Alpine,2/3/2021,34,0,34,0,10,189,24,50,10
Alpine,2/4/2021,8,0,8,0,3,187,5,55,3
Alpine,2/5/2021,31,0,31,0,12,180,19,74,12
Alpine,2/6/2021,1,1,0,0,1,181,0,74,1
Alpine,2/7/2021,1,1,0,0,1,182,0,74,1
Alpine,2/8/2021,32,0,32,0,4,158,28,102,4
Alpine,2/10/2021,34,0,34,0,0,124,34,136,0
Alpine,2/11/2021,6,0,6,0,3,124,3,139,3
Alpine,2/12/2021,1,0,1,0,0,123,1,140,0
Alpine,2/17/2021,23,0,23,0,3,106,20,160,3
Alpine,2/18/2021,2,0,2,0,1,106,1,161,1
Alpine,2/19/2021,34,1,33,0,2,76,32,193,2
Alpine,2/22/2021,27,0,27,0,8,65,19,212,8
Alpine,2/24/2021,1,1,0,0,1,66,0,212,1
Alpine,2/25/2021,6,1,5,0,6,72,0,212,6
Alpine,2/26/2021,29,1,28,0,28,99,1,213,28
Alpine,2/27/2021,1,0,1,0,1,100,0,213,1
Alpine,3/1/2021,35,0,35,0,25,115,10,223,25
Alpine,3/2/2021,1,1,0,0,0,114,1,224,0
Alpine,3/3/2021,30,1,29,0,18,120,12,236,18
Alpine,3/4/2021,11,1,10,0,11,131,0,236,11
Alpine,3/5/2021,30,0,30,0,22,145,8,244,22
Alpine,3/8/2021,31,0,31,0,29,172,2,246,29
Alpine,3/10/2021,72,0,72,0,72,244,0,246,72
Alpine,3/11/2021,36,0,36,0,32,272,4,250,32
Alpine,3/12/2021,19,0,19,0,17,287,2,252,17
Alpine,3/15/2021,21,1,20,0,20,306,1,253,20
Alpine,3/17/2021,23,0,22,1,19,322,4,257,20
Alpine,3/18/2021,38,3,35,0,35,354,3,260,35
Alpine,3/19/2021,2,1,1,0,1,354,1,261,1
Alpine,3/22/2021,24,0,24,0,15,360,9,270,15
Alpine,3/24/2021,19,0,19,0,9,359,10,280,9
Alpine,3/25/2021,35,1,33,1,28,381,7,287,29
Alpine,3/27/2021,1,0,1,0,0,380,1,288,0
Alpine,3/28/2021,1,1,0,0,1,381,0,288,1
Alpine,3/29/2021,20,0,19,1,3,368,17,305,4
Alpine,4/1/2021,16,0,16,0,7,366,9,314,7
Alpine,4/2/2021,100,1,99,0,46,359,53,367,46
Alpine,4/5/2021,4,1,3,0,0,355,4,371,0
Alpine,4/6/2021,3,2,1,0,2,356,1,372,2
Alpine,4/7/2021,115,0,114,1,29,301,85,457,30
Alpine,4/8/2021,38,0,36,2,10,285,28,485,12
Alpine,4/9/2021,1,0,1,0,1,286,0,485,1
Alpine,4/14/2021,47,0,47,0,10,259,37,522,10
Alpine,4/15/2021,35,0,35,0,3,230,32,554,3
Alpine,4/16/2021,1,0,1,0,1,231,0,554,1
Alpine,4/19/2021,1,0,1,0,1,232,0,554,1
Alpine,4/21/2021,31,0,31,0,15,231,16,570,15
Alpine,4/22/2021,24,0,24,0,1,209,23,593,1
Amador,12/16/2020,2,2,0,0,2,2,0,0,2
Amador,12/17/2020,5,5,0,0,5,7,0,0,5
Amador,12/18/2020,45,45,0,0,45,52,0,0,45
Amador,12/19/2020,17,17,0,0,17,69,0,0,17
Amador,12/20/2020,4,4,0,0,4,73,0,0,4
Amador,12/21/2020,32,32,0,0,32,105,0,0,32
Amador,12/22/2020,35,34,1,0,35,140,0,0,35
Amador,12/23/2020,39,38,1,0,39,179,0,0,39
Amador,12/24/2020,5,3,2,0,5,184,0,0,5
Amador,12/26/2020,5,4,1,0,5,189,0,0,5
Amador,12/27/2020,1,0,1,0,1,190,0,0,1
Amador,12/28/2020,31,27,4,0,31,221,0,0,31
Amador,12/29/2020,26,19,7,0,26,247,0,0,26
Amador,12/30/2020,124,78,46,0,124,371,0,0,124
Amador,12/31/2020,192,167,25,0,192,563,0,0,192
Amador,1/1/2021,1,0,1,0,1,564,0,0,1
Amador,1/2/2021,55,55,0,0,55,619,0,0,55
Amador,1/3/2021,65,17,48,0,65,684,0,0,65
Amador,1/4/2021,123,1,122,0,123,807,0,0,123
Amador,1/5/2021,33,3,30,0,31,837,2,2,32
Amador,1/6/2021,40,10,30,0,36,869,4,6,36
Amador,1/7/2021,227,68,159,0,215,1072,12,18,215
Amador,1/8/2021,84,70,14,0,40,1069,44,62,41
Amador,1/9/2021,11,11,0,0,2,1062,9,71,2
Amador,1/10/2021,7,5,2,0,3,1061,4,75,3
Amador,1/11/2021,125,45,80,0,89,1114,36,111,89
Amador,1/12/2021,64,49,15,0,40,1130,24,135,40
Amador,1/13/2021,38,23,15,0,26,1144,12,147,26
Amador,1/14/2021,146,20,126,0,136,1270,10,157,136
Amador,1/15/2021,55,24,31,0,48,1311,7,164,48
Amador,1/16/2021,19,12,7,0,13,1319,6,170,14
Amador,1/17/2021,25,5,20,0,25,1344,0,170,25
Amador,1/18/2021,31,27,4,0,9,1331,22,192,9
Amador,1/19/2021,119,96,23,0,75,1362,44,236,75
Amador,1/20/2021,183,34,149,0,167,1514,15,251,167
Amador,1/21/2021,252,221,31,0,144,1551,108,359,145
Amador,1/22/2021,133,72,61,0,126,1670,7,366,126
Amador,1/23/2021,52,32,20,0,50,1718,2,368,50
Amador,1/24/2021,28,12,16,0,25,1740,3,371,25
Amador,1/25/2021,59,28,31,0,42,1765,17,388,42
Amador,1/26/2021,244,16,228,0,234,1989,10,398,234
Amador,1/27/2021,296,30,266,0,249,2194,45,443,250
Amador,1/28/2021,345,76,269,0,284,2418,61,504,285
Amador,1/29/2021,95,30,65,0,80,2483,15,519,80
Amador,1/30/2021,167,33,134,0,162,2640,5,524,162
Amador,1/31/2021,32,28,4,0,31,2670,1,525,31
Amador,2/1/2021,63,23,40,0,36,2679,27,552,36
Amador,2/2/2021,213,65,148,0,127,2723,83,635,127
Amador,2/3/2021,141,38,103,0,90,2763,50,685,90
Amador,2/4/2021,248,72,176,0,163,2843,85,770,165
Amador,2/5/2021,331,63,268,0,315,3142,16,786,315
Amador,2/6/2021,99,80,19,0,95,3233,4,790,95
Amador,2/7/2021,38,35,3,0,35,3265,3,793,35
Amador,2/8/2021,90,62,28,0,73,3321,17,810,73
Amador,2/9/2021,173,83,90,0,108,3364,65,875,108
Amador,2/10/2021,976,77,899,0,943,4274,33,908,943
Amador,2/11/2021,305,118,187,0,200,4370,104,1012,200
Amador,2/12/2021,324,118,206,0,253,4552,71,1083,253
Amador,2/13/2021,165,81,84,0,139,4665,26,1109,139
Amador,2/14/2021,123,54,69,0,106,4754,17,1126,106
Amador,2/15/2021,186,60,126,0,169,4907,16,1142,169
Amador,2/16/2021,462,53,409,0,425,5296,37,1179,426
Amador,2/17/2021,258,80,178,0,163,5364,95,1274,163
Amador,2/18/2021,397,98,299,0,335,5638,62,1336,336
Amador,2/19/2021,192,76,116,0,111,5668,81,1417,111
Amador,2/20/2021,91,29,62,0,64,5705,27,1444,64
Amador,2/21/2021,45,34,11,0,15,5690,30,1474,15
Amador,2/22/2021,63,24,39,0,32,5692,30,1504,32
Amador,2/23/2021,318,55,263,0,138,5651,180,1684,139
Amador,2/24/2021,392,56,336,0,262,5787,126,1810,262
Amador,2/25/2021,517,113,404,0,278,5827,238,2048,278
Amador,2/26/2021,608,75,533,0,503,6226,105,2153,504
Amador,2/27/2021,288,91,197,0,100,6141,187,2340,102
Amador,2/28/2021,101,52,49,0,55,6153,46,2386,58
Amador,3/1/2021,188,66,122,0,119,6204,69,2455,120
Amador,3/2/2021,379,62,317,0,329,6484,50,2505,330
Amador,3/3/2021,240,78,162,0,165,6576,74,2579,166
Amador,3/4/2021,494,116,378,0,392,6866,102,2681,392
Amador,3/5/2021,512,77,435,0,294,6945,217,2898,296
Amador,3/6/2021,99,45,53,1,54,6955,45,2943,55
Amador,3/7/2021,63,42,21,0,20,6932,43,2986,20
Amador,3/8/2021,152,71,80,1,91,6963,61,3047,92
Amador,3/9/2021,367,47,320,0,291,7181,73,3120,291
Amador,3/10/2021,506,73,431,2,109,6896,397,3517,112
Amador,3/11/2021,468,113,344,11,297,7037,170,3687,311
Amador,3/12/2021,567,65,494,8,337,7158,229,3916,350
Amador,3/13/2021,114,18,89,7,75,7205,39,3955,86
Amador,3/14/2021,89,19,67,3,21,7161,68,4023,24
Amador,3/15/2021,177,25,145,7,53,7099,124,4147,62
Amador,3/16/2021,448,55,383,10,137,6937,309,4456,147
Amador,3/17/2021,190,41,146,3,114,6979,76,4532,118
Amador,3/18/2021,471,97,370,4,247,7009,224,4756,254
Amador,3/19/2021,540,56,467,17,391,7273,147,4903,411
Amador,3/20/2021,110,46,63,1,47,7261,62,4965,50
Amador,3/21/2021,48,36,11,1,31,7279,16,4981,34
Amador,3/22/2021,114,33,52,29,50,7294,64,5045,79
Amador,3/23/2021,432,48,376,8,276,7423,155,5200,284
Amador,3/24/2021,341,35,55,251,36,7406,304,5504,287
Amador,3/25/2021,598,81,511,6,388,7591,209,5713,394
Amador,3/26/2021,738,43,689,6,282,7429,453,6166,291
Amador,3/27/2021,90,14,74,2,26,7395,64,6230,30
Amador,3/28/2021,68,15,51,2,14,7359,53,6283,17
Amador,3/29/2021,179,26,152,1,81,7350,96,6379,87
Amador,3/30/2021,532,28,503,1,298,7416,233,6612,299
Amador,3/31/2021,202,57,140,5,47,7313,155,6767,52
Amador,4/1/2021,613,85,528,0,266,7236,345,7112,268
Amador,4/2/2021,603,34,557,12,383,7414,218,7330,396
Amador,4/3/2021,83,20,43,20,20,7392,63,7393,41
Amador,4/4/2021,39,4,29,6,16,7391,23,7416,22
Amador,4/5/2021,140,48,74,18,45,7361,94,7510,64
Amador,4/6/2021,501,37,445,19,223,7327,276,7786,242
Amador,4/7/2021,100,34,47,19,44,7336,54,7840,63
Amador,4/8/2021,497,84,391,22,223,7308,273,8113,245
Amador,4/9/2021,482,21,442,19,214,7272,267,8380,231
Amador,4/10/2021,51,14,26,11,22,7276,29,8409,33
Amador,4/11/2021,48,23,21,4,22,7276,26,8435,26
Amador,4/12/2021,98,27,62,9,43,7273,55,8490,52
Amador,4/13/2021,343,49,294,0,68,7067,274,8764,68
Amador,4/14/2021,276,25,251,0,177,7146,98,8862,177
Amador,4/15/2021,329,74,255,0,73,6969,250,9112,73
Amador,4/16/2021,483,29,454,0,384,7256,97,9209,384
Amador,4/17/2021,63,37,26,0,27,7247,36,9245,27
Amador,4/18/2021,25,5,20,0,11,7244,14,9259,11
Amador,4/19/2021,69,27,42,0,31,7240,37,9296,33
Amador,4/20/2021,434,53,381,0,111,7036,317,9613,113
Amador,4/21/2021,86,33,53,0,43,7037,42,9655,43
Amador,4/22/2021,143,66,76,1,61,7021,78,9733,62
Amador,4/23/2021,285,6,279,0,228,7194,56,9789,229
Butte,12/16/2020,3,3,0,0,3,3,0,0,3
Butte,12/17/2020,21,21,0,0,21,24,0,0,21
Butte,12/18/2020,50,50,0,0,50,74,0,0,50
Butte,12/19/2020,7,7,0,0,7,81,0,0,7
Butte,12/20/2020,10,10,0,0,10,91,0,0,10
Butte,12/21/2020,634,634,0,0,634,725,0,0,634
Butte,12/22/2020,618,616,2,0,618,1343,0,0,618
Butte,12/23/2020,869,853,16,0,869,2212,0,0,869
Butte,12/24/2020,159,156,3,0,159,2371,0,0,159
Butte,12/26/2020,93,91,2,0,93,2464,0,0,93
Butte,12/27/2020,35,34,1,0,35,2499,0,0,35
Butte,12/28/2020,279,273,6,0,279,2778,0,0,279
Butte,12/29/2020,204,180,24,0,204,2982,0,0,204
Butte,12/30/2020,502,291,211,0,502,3484,0,0,502
Butte,12/31/2020,211,18,193,0,211,3695,0,0,211
Butte,1/1/2021,8,1,7,0,8,3703,0,0,8
Butte,1/2/2021,41,38,3,0,41,3744,0,0,41
Butte,1/3/2021,4,1,3,0,4,3748,0,0,4
Butte,1/4/2021,209,175,34,0,209,3957,0,0,209
Butte,1/5/2021,196,151,45,0,195,4151,1,1,195
Butte,1/6/2021,623,397,226,0,618,4765,5,6,619
Butte,1/7/2021,763,371,392,0,743,5488,20,26,743
Butte,1/8/2021,572,529,43,0,526,5968,46,72,526
Butte,1/9/2021,12,7,5,0,7,5970,5,77,7
Butte,1/10/2021,19,5,14,0,14,5979,5,82,14
Butte,1/11/2021,986,950,36,0,357,5710,629,711,360
Butte,1/12/2021,697,652,45,0,274,5561,423,1134,274
Butte,1/13/2021,1448,954,494,0,614,5343,834,1968,616
Butte,1/14/2021,1637,896,741,0,1440,6587,196,2164,1440
Butte,1/15/2021,1170,926,244,0,1061,7538,110,2274,1061
Butte,1/16/2021,586,300,286,0,541,8034,45,2319,541
Butte,1/17/2021,239,64,175,0,202,8199,37,2356,202
Butte,1/18/2021,342,302,40,0,274,8406,67,2423,274
Butte,1/19/2021,493,429,64,0,220,8353,273,2696,220
Butte,1/20/2021,1346,665,681,0,1043,9093,303,2999,1043
Butte,1/21/2021,1474,866,608,0,1366,10352,107,3106,1366
Butte,1/22/2021,995,336,659,0,942,11241,53,3159,942
Butte,1/23/2021,125,83,42,0,99,11314,26,3185,99
Butte,1/24/2021,9,7,2,0,9,11323,0,3185,9
Butte,1/25/2021,654,336,318,0,491,11651,163,3348,491
Butte,1/26/2021,1467,377,1090,0,1330,12844,137,3485,1330
Butte,1/27/2021,2083,708,1375,0,1364,13490,718,4203,1364
Butte,1/28/2021,2262,261,2001,0,1951,15131,310,4513,1951
Butte,1/29/2021,1677,488,1189,0,1298,16051,378,4891,1298
Butte,1/30/2021,32,9,23,0,29,16077,3,4894,29
Butte,1/31/2021,17,15,2,0,16,16092,1,4895,16
Butte,2/1/2021,1748,406,1342,0,1359,17064,387,5282,1359
Butte,2/2/2021,1931,362,1569,0,1628,18388,304,5586,1628
Butte,2/3/2021,2733,772,1961,0,1843,19343,888,6474,1843
Butte,2/4/2021,2960,327,2633,0,2405,21195,553,7027,2405
Butte,2/5/2021,1168,662,506,0,537,21102,631,7658,538
Butte,2/6/2021,143,102,41,0,61,21081,82,7740,61
Butte,2/7/2021,37,33,4,0,13,21070,24,7764,13
Butte,2/8/2021,689,540,149,0,238,20857,451,8215,238
Butte,2/9/2021,951,457,494,0,724,21354,227,8442,724
Butte,2/10/2021,1708,1191,517,0,699,21046,1007,9449,699
Butte,2/11/2021,2198,1348,850,0,1004,20856,1194,10643,1004
Butte,2/12/2021,867,302,565,0,317,20624,549,11192,317
Butte,2/13/2021,254,45,209,0,151,20672,103,11295,151
Butte,2/14/2021,160,9,151,0,155,20822,5,11300,155
Butte,2/15/2021,261,48,213,0,198,20957,63,11363,198
Butte,2/16/2021,729,428,301,0,273,20773,457,11820,273
Butte,2/17/2021,1513,847,666,0,841,20944,670,12490,841
Butte,2/18/2021,1549,758,791,0,744,20883,805,13295,744
Butte,2/19/2021,1166,387,779,0,401,20526,758,14053,401
Butte,2/20/2021,473,28,445,0,120,20294,352,14405,120
Butte,2/21/2021,15,13,2,0,11,20301,4,14409,11
Butte,2/22/2021,1492,295,1197,0,381,19572,1110,15519,381
Butte,2/23/2021,1633,298,1335,0,463,18870,1165,16684,463
Butte,2/24/2021,2132,596,1536,0,729,18204,1395,18079,729
Butte,2/25/2021,2073,574,1499,0,652,17441,1416,19495,653
Butte,2/26/2021,921,311,610,0,398,17319,520,20015,398
Butte,2/27/2021,233,47,186,0,186,17460,45,20060,186
Butte,2/28/2021,139,16,123,0,131,17583,8,20068,131
Butte,3/1/2021,1623,178,1444,1,327,16616,1295,21363,328
Butte,3/2/2021,1737,192,1545,0,305,15493,1428,22791,305
Butte,3/3/2021,2779,844,1935,0,481,13677,2297,25088,481
Butte,3/4/2021,3122,659,2463,0,610,11776,2511,27599,610
Butte,3/5/2021,1328,604,723,1,722,11896,603,28202,723
Butte,3/6/2021,244,27,194,23,183,12042,60,28262,206
Butte,3/7/2021,55,3,35,17,30,12064,25,28287,47
Butte,3/8/2021,1262,128,1057,77,1098,13077,162,28449,1175
Butte,3/9/2021,1896,276,1517,103,1411,14107,484,28933,1514
Butte,3/10/2021,2321,966,1255,100,1582,15054,734,29667,1681
Butte,3/11/2021,2800,1313,1362,125,1977,16343,813,30480,2102
Butte,3/12/2021,1136,324,466,346,354,16267,776,31256,700
Butte,3/13/2021,252,68,136,48,64,16191,188,31444,112
Butte,3/14/2021,160,15,103,42,21,16116,138,31582,63
Butte,3/15/2021,1719,360,1066,293,1126,16947,588,32170,1419
Butte,3/16/2021,1623,414,1131,78,1083,17570,537,32707,1160
Butte,3/17/2021,1950,1357,512,81,1131,17970,811,33518,1211
Butte,3/18/2021,1797,1455,213,129,1058,18421,735,34253,1186
