School_name,county,Longitude,Latitude,Total_Enrollment
Academy of Art University,San Francisco,-122.400578,37.787943,9812.0
Academy of Chinese Culture and Health Sciences,Alameda,-122.26983899999999,37.805972,133.0
Avalon School of Cosmetology-Alameda,Alameda,-122.24356599999999,37.764203,47.0
College of Alameda,Alameda,-122.279303,37.781017,5667.0
Allan Hancock College,Santa Barbara,-120.421144,34.943715999999995,11894.0
American Academy of Dramatic Arts-Los Angeles,Los Angeles,-118.343701,34.095378000000004,251.0
American Baptist Seminary of the West,Alameda,-122.256149,37.865252000000005,39.0
American Film Institute Conservatory,Los Angeles,-118.310018,34.10767,334.0
American Beauty College,Los Angeles,-117.936959,34.069367,92.0
American Career College-Los Angeles,Los Angeles,-118.29248100000001,34.079322999999995,1567.0
American Conservatory Theater,San Francisco,-122.40475,37.787343,43.0
American River College,Sacramento,-121.349672,38.65085,31265.0
Antelope Valley College,Los Angeles,-118.18616599999999,34.676207,13909.0
Art Center College of Design,Los Angeles,-118.185102,34.169031,2335.0
Associated Technical College-Los Angeles,Los Angeles,-118.272364,34.056102,335.0
Associated Technical College-San Diego,San Diego,-117.15798799999999,32.715375,85.0
Azusa Pacific University,Los Angeles,-117.888375,34.130047,9297.0
Bakersfield College,Kern,-118.973753,35.40911,26380.0
Barstow Community College,San Bernardino,-117.02341200000001,34.870284999999996,3078.0
Bellus Academy-Chula Vista,San Diego,-117.08373799999998,32.614773,239.0
Bethesda University,Orange,-117.941323,33.842295,397.0
Biola University,Los Angeles,-118.014374,33.906203000000005,6103.0
Brownson Technical School,Orange,-117.905774,33.819032,53.0
Butte College,Butte,-121.64483100000001,39.649782,10100.0
California Institute of Integral Studies,San Francisco,-122.416102,37.774924,1476.0
Cabrillo College,Santa Cruz,-121.924797,36.989447999999996,11033.0
California Baptist University,Riverside,-117.425619,33.929321,11045.0
California College of the Arts,San Francisco,-122.399451,37.767485,1860.0
University of California-Hastings College of Law,San Francisco,-122.4157,37.781137,979.0
California Institute of Technology,Los Angeles,-118.125878,34.137349,2237.0
California Lutheran University,Ventura,-118.878924,34.224565999999996,4303.0
California Polytechnic State University-San Luis Obispo,San Luis Obispo,-120.657311,35.299513,21426.0
Alliant International University-San Diego,San Diego,-117.094398,32.897056,3536.0
California State University-Bakersfield,Kern,-119.10471100000001,35.350004999999996,11531.0
California State University-Stanislaus,Stanislaus,-120.852511,37.52577,10974.0
California State University-San Bernardino,San Bernardino,-117.323801,34.182621999999995,20638.0
California State Polytechnic University-Pomona,Los Angeles,-117.821476,34.057912,28058.0
California State University-Chico,Butte,-121.84485900000001,39.729712,17110.0
California State University-Dominguez Hills,Los Angeles,-118.255917,33.864765999999996,17977.0
California State University-Fresno,Fresno,-119.744569,36.811153999999995,24298.0
California State University-Fullerton,Orange,-117.885446,33.881506,40445.0
California State University-East Bay,Alameda,-122.054135,37.657694,16064.0
California State University-Long Beach,Los Angeles,-118.11204,33.782818,38674.0
California State University-Los Angeles,Los Angeles,-118.16896499999999,34.066927,26671.0
California State University-Northridge,Los Angeles,-118.529319,34.240126000000004,39910.0
California State University-Sacramento,Sacramento,-121.423549,38.559415,31992.0
University of California-Berkeley,Alameda,-122.26046299999999,37.871918,43185.0
University of California-Davis,Yolo,-121.749567,38.539667,38634.0
University of California-Irvine,Orange,-117.841248,33.648434,36908.0
University of California-Los Angeles,Los Angeles,-118.443901,34.068892,44371.0
